word,frequency
взыскание,17
ифнс,1
россия,1
служба,2
более,1
довод,2
накопительный,4
правомерный,1
рубль,1
копейка,1
федерация,5
самостоятельно,1
истечение,7
предприниматель,13
РФ,17
Ткачук,1
штраф,1
сумма,18
агент,1
информация,2
заявитель,7
связь,4
протокол,1
размер,16
внебюджетный,2
предел,3
р-ну,1
дмитрий,4
дата,1
форма,1
признание,1
резолютивный,1
средство,5
страхования,4
денежный,5
мочь,7
относительно,1
расчётный,1
недоимка,8
календарный,1
путём,1
задолженность,7
номер,1
трудовой,11
греченко,4
готовый,2
поименованный,1
общий,1
госпошлина,2
адрес,1
определённый,3
декабрь,1
В.А.,2
рассмотрение,2
качество,2
добровольный,1
Александровичу,1
указание,1
свой,1
левобережный,3
шесть,1
управление,2
оформление,1
август,1
иск,1
козлов,2
внесение,2
год,7
страхование,11
обращение,2
корпоративный,1
учёт,3
Д.Э.,1
Козлов,1
Арбитражный,2
страховой,40
АРБИТРАЖНЫЙ,1
возникновение,1
изготовление,1
поздний,2
обязательного,3
число,1
акт,1
медицинского,3
индивидуальный,15
платёж,7
согласно,3
жительство,1
административный,1
причина,2
Дмитрия,3
Александровича,3
неуплата,2
Дело,1
счёт,8
СУД,1
медицинский,8
арбитражный,8
социальный,2
принятие,1
секретарь,1
идентификационный,1
Инспекции,1
рф,9
лицо,6
недостаточность,1
дело,6
положение,1
отсутствие,4
Левобережному,3
неисполнение,3
основание,6
бобро,1
перерыв,1
реквизит,1
налогоплательщик,15
подлежащее,1
принудительно,1
бюджет,2
обоснование,1
неуплаченный,2
состав,1
судья,2
апк,3
администрирование,1
Бобро,1
фонда,3
участие,3
случай,3
Федерации,10
пропуск,1
выходной,1
передача,1
ффомс,2
период,8
пеня,19
налоговый,17
принудительный,1
судебный,8
плательщик,1
против,1
день,3
продолжительный,1
вступление,1
Федеральный,3
воронеж,5
безнадёжный,2
статья,4
Федеральной,2
отношение,1
уважительный,2
надлежащий,2
ОБЛАСТИ,1
НК,4
Российской,10
определение,2
физический,2
получение,1
письменный,1
девятнадцатый,1
пенсия,7
это,5
законный,1
истекший,1
району,2
ВОРОНЕЖСКОЙ,1
порядок,9
мотивированный,1
сторона,2
изменение,2
социального,1
позиция,1
октябрь,1
решение,9
Пенсионного,3
извещение,1
выше,2
электронный,3
ведение,1
заявление,11
иной,2
перевод,1
открытый,1
обязанность,7
имущество,3
время,1
лист,1
списание,3
РЕШИЛ,1
Девятнадцатый,1
район,2
указанный,12
апелляционный,2
наличный,1
установленный,6
соответствие,5
произвольный,1
самостоятельный,1
расшифровка,1
Воронеж,4
упрощённый,1
необходимый,2
подача,3
инспекция,2
инна,6
законодательный,1
орган,12
объяснение,1
Козлова,1
Пенсионный,1
срок,11
службы,2
доход,2
сила,5
обязательный,17
государственный,3
максимальный,3
ненадлежащий,1
отдельный,1
ващенко,1
взнос,29
области,2
Управления,1
ФФОМС,2
результат,1
течение,5
федеральный,18
фонд,14
исполнительный,1
область,2
налог,15
полномочие,1
Дмитрию,1
пропорционально,1
нк,14
должный,3
место,1
отражённый,1
исполнение,7
месяц,3
бесспорный,2
январь,3
ткачук,1
представитель,5
неполный,1
российский,11
соответствующий,1
пенсионный,9
настоящий,2
третий,5
законодательство,2
А.Б.,1
Воронежа,3
вправе,2
удовлетворение,1
ответчик,9
остальной,1
александрович,4
сведение,3
уплата,22
отзыв,1
требование,21
суд,21
правило,1
закон,11
Ващенко,1
Греченко,4
ИФНС,1
часть,17
наличие,2
возражение,1
направление,2
Воронежской,2
предмет,1
воронежский,3
недействительный,2
доверенность,2
К.А.,1
заседание,5
организация,9
момент,1
налоговой,2
Фонд,1
Управление,1
Воронеже,2
России,1
кодекс,3
страхователь,1
